Unnamed: 0,Simulation,Category,Object,Parameter,Data File
544,REAL_TIME,Generator,266,PMin MW,REAL_TIME_wind.csv
545,REAL_TIME,Generator,266,PMax MW,REAL_TIME_wind.csv
546,DAY_AHEAD,Generator,267,PMin MW,DAY_AHEAD_wind.csv
547,DAY_AHEAD,Generator,267,PMax MW,DAY_AHEAD_wind.csv
548,REAL_TIME,Generator,267,PMin MW,REAL_TIME_wind.csv
549,REAL_TIME,Generator,267,PMax MW,REAL_TIME_wind.csv
554,DAY_AHEAD,Generator,272,PMin MW,DAY_AHEAD_wind.csv
555,DAY_AHEAD,Generator,272,PMax MW,DAY_AHEAD_wind.csv
556,REAL_TIME,Generator,272,PMin MW,REAL_TIME_wind.csv
557,REAL_TIME,Generator,272,PMax MW,REAL_TIME_wind.csv
566,DAY_AHEAD,Generator,279,PMin MW,DAY_AHEAD_wind.csv
567,DAY_AHEAD,Generator,279,PMax MW,DAY_AHEAD_wind.csv
568,REAL_TIME,Generator,279,PMin MW,REAL_TIME_wind.csv
569,REAL_TIME,Generator,279,PMax MW,REAL_TIME_wind.csv
570,DAY_AHEAD,Generator,281,PMin MW,DAY_AHEAD_wind.csv
571,DAY_AHEAD,Generator,281,PMax MW,DAY_AHEAD_wind.csv
572,REAL_TIME,Generator,281,PMin MW,REAL_TIME_wind.csv
573,REAL_TIME,Generator,281,PMax MW,REAL_TIME_wind.csv
574,DAY_AHEAD,Generator,9,PMin MW,DAY_AHEAD_solar.csv
575,DAY_AHEAD,Generator,9,PMax MW,DAY_AHEAD_solar.csv
576,REAL_TIME,Generator,9,PMin MW,REAL_TIME_solar.csv
577,REAL_TIME,Generator,9,PMax MW,REAL_TIME_solar.csv
582,DAY_AHEAD,Generator,21,PMin MW,DAY_AHEAD_solar.csv
583,DAY_AHEAD,Generator,21,PMax MW,DAY_AHEAD_solar.csv
584,REAL_TIME,Generator,21,PMin MW,REAL_TIME_solar.csv
585,REAL_TIME,Generator,21,PMax MW,REAL_TIME_solar.csv
586,DAY_AHEAD,Generator,22,PMin MW,DAY_AHEAD_solar.csv
587,DAY_AHEAD,Generator,22,PMax MW,DAY_AHEAD_solar.csv
588,REAL_TIME,Generator,22,PMin MW,REAL_TIME_solar.csv
589,REAL_TIME,Generator,22,PMax MW,REAL_TIME_solar.csv
594,DAY_AHEAD,Generator,30,PMin MW,DAY_AHEAD_solar.csv
595,DAY_AHEAD,Generator,30,PMax MW,DAY_AHEAD_solar.csv
596,REAL_TIME,Generator,30,PMin MW,REAL_TIME_solar.csv
597,REAL_TIME,Generator,30,PMax MW,REAL_TIME_solar.csv
598,DAY_AHEAD,Generator,32,PMin MW,DAY_AHEAD_solar.csv
599,DAY_AHEAD,Generator,32,PMax MW,DAY_AHEAD_solar.csv
